Step,Travel_Time
6000.0,36425.3671875
54343.43434343435,53089.31640625
102686.8686868687,55791.1796875
151030.30303030304,55524.48828125
199373.7373737374,56741.9921875
247717.17171717173,56370.91796875
296060.6060606061,56895.328125
344404.0404040404,50795.78125
392747.4747474748,48093.66796875
441090.9090909091,52159.2734375
489434.34343434346,57719.65625
537777.7777777778,53077.73828125
586121.2121212122,47689.26953125
634464.6464646466,49954.109375
682808.0808080808,51664.3984375
731151.5151515151,55759.22265625
779494.9494949495,60379.96875
827838.383838384,62886.125
876181.8181818182,61488.07421875
924525.2525252525,57543.734375
972868.6868686869,54632.91015625
1021212.1212121213,59829.25390625
1069555.5555555555,58982.5390625
1117898.98989899,60200.01171875
1166242.4242424243,59388.9140625
1214585.8585858587,56428.81640625
1262929.2929292931,54735.296875
1311272.7272727273,49842.96875
1359616.1616161617,50659.5625
1407959.595959596,58003.4296875
1456303.0303030303,59827.25390625
1504646.4646464647,56586.75390625
1552989.898989899,52303.26171875
1601333.3333333335,55041.6953125
1649676.767676768,59420.34375
1698020.202020202,55303.67578125
1746363.6363636365,54555.4296875
1794707.0707070709,53842.75390625
1843050.505050505,53160.1015625
1891393.9393939395,53000.99609375
1939737.3737373739,52009.1640625
1988080.8080808083,48466.90234375
2036424.2424242427,51618.66796875
2084767.6767676768,53085.3828125
2133111.111111111,52903.98046875
2181454.5454545454,54872.19921875
2229797.97979798,52647.31640625
2278141.414141414,58385.2890625
2326484.8484848486,59671.43359375
2374828.282828283,52304.80078125
2423171.7171717174,52602.69921875
2471515.151515152,54622.05078125
2519858.5858585862,53699.8984375
2568202.02020202,55157.1015625
2616545.4545454546,53549.4140625
2664888.888888889,51092.6484375
2713232.3232323234,55023.1328125
2761575.757575758,56230.9296875
2809919.191919192,57197.11328125
2858262.6262626266,56771.39453125
2906606.0606060605,57921.328125
2954949.494949495,61172.99609375
3003292.9292929294,61569.15234375
3051636.3636363638,54851.15625
3099979.797979798,52037.84375
3148323.2323232326,53423.05859375
3196666.666666667,54478.81640625
3245010.1010101014,50975.83203125
3293353.535353536,50896.60546875
3341696.9696969697,58027.94921875
3390040.404040404,54699.5078125
3438383.8383838385,51287.9296875
3486727.272727273,55707.77734375
3535070.7070707073,55050.34375
3583414.1414141417,54568.0703125
3631757.575757576,55172.2265625
3680101.01010101,55995.98046875
3728444.4444444445,56458.41796875
3776787.878787879,57583.5
3825131.3131313133,59454.421875
3873474.7474747477,61260.16796875
3921818.181818182,58284.5
3970161.6161616165,55908.56640625
4018505.050505051,55187.328125
4066848.4848484853,52669.984375
4115191.9191919193,53666.515625
4163535.3535353537,57135.0625
4211878.787878788,59463.6953125
4260222.222222222,59656.67578125
4308565.656565657,52028.11328125
4356909.090909091,52079.984375
4405252.525252526,59014.32421875
4453595.95959596,54363.05078125
4501939.3939393945,52187.3984375
4550282.828282828,56048.46484375
4598626.262626263,53608.5390625
4646969.696969697,51385.578125
4695313.131313131,55932.23046875
4743656.565656566,55447.69140625
4792000.0,52169.88671875
